audio_path,feat_path
ar-XA-Wavenet-D/female_ab_00089.wav,ar-XA-Wavenet-D/female_ab_00089.pt
ar-XA-Wavenet-B/male_aa_00926.wav,ar-XA-Wavenet-B/male_aa_00926.pt
ar-XA-Wavenet-B/male_ac_01319.wav,ar-XA-Wavenet-B/male_ac_01319.pt
ar-XA-Wavenet-B/male_aa_00900.wav,ar-XA-Wavenet-B/male_aa_00900.pt
ar-XA-Wavenet-D/female_ab_00019.wav,ar-XA-Wavenet-D/female_ab_00019.pt
ar-XA-Wavenet-D/male_aa_01159.wav,ar-XA-Wavenet-D/male_aa_01159.pt
ar-XA-Wavenet-D/male_ac_01524.wav,ar-XA-Wavenet-D/male_ac_01524.pt
ar-XA-Wavenet-B/male_aa_01074.wav,ar-XA-Wavenet-B/male_aa_01074.pt
ar-XA-Wavenet-B/female_ad_00408.wav,ar-XA-Wavenet-B/female_ad_00408.pt
ar-XA-Wavenet-B/male_aa_00994.wav,ar-XA-Wavenet-B/male_aa_00994.pt
ar-XA-Wavenet-B/male_aa_01148.wav,ar-XA-Wavenet-B/male_aa_01148.pt
ar-XA-Wavenet-D/male_ac_01595.wav,ar-XA-Wavenet-D/male_ac_01595.pt
ar-XA-Wavenet-D/female_ab_00063.wav,ar-XA-Wavenet-D/female_ab_00063.pt
ar-XA-Wavenet-B/male_aa_01138.wav,ar-XA-Wavenet-B/male_aa_01138.pt
ar-XA-Wavenet-D/male_aa_01081.wav,ar-XA-Wavenet-D/male_aa_01081.pt
ar-XA-Wavenet-B/female_ab_00228.wav,ar-XA-Wavenet-B/female_ab_00228.pt
ar-XA-Wavenet-D/female_ab_00315.wav,ar-XA-Wavenet-D/female_ab_00315.pt
ar-XA-Wavenet-D/male_ac_01269.wav,ar-XA-Wavenet-D/male_ac_01269.pt
ar-XA-Wavenet-D/male_ac_01473.wav,ar-XA-Wavenet-D/male_ac_01473.pt
ar-XA-Wavenet-D/female_ad_00647.wav,ar-XA-Wavenet-D/female_ad_00647.pt
ar-XA-Wavenet-B/female_ab_00296.wav,ar-XA-Wavenet-B/female_ab_00296.pt
ar-XA-Wavenet-D/male_aa_01037.wav,ar-XA-Wavenet-D/male_aa_01037.pt
ar-XA-Wavenet-D/female_ad_00443.wav,ar-XA-Wavenet-D/female_ad_00443.pt
ar-XA-Wavenet-D/male_ac_01255.wav,ar-XA-Wavenet-D/male_ac_01255.pt
ar-XA-Wavenet-D/female_ad_00512.wav,ar-XA-Wavenet-D/female_ad_00512.pt
ar-XA-Wavenet-D/male_aa_00964.wav,ar-XA-Wavenet-D/male_aa_00964.pt
ar-XA-Wavenet-B/female_ad_00767.wav,ar-XA-Wavenet-B/female_ad_00767.pt
ar-XA-Wavenet-D/female_ad_00795.wav,ar-XA-Wavenet-D/female_ad_00795.pt
ar-XA-Wavenet-B/male_aa_01043.wav,ar-XA-Wavenet-B/male_aa_01043.pt
ar-XA-Wavenet-D/female_ad_00559.wav,ar-XA-Wavenet-D/female_ad_00559.pt
ar-XA-Wavenet-B/female_ad_00540.wav,ar-XA-Wavenet-B/female_ad_00540.pt
ar-XA-Wavenet-B/male_aa_00899.wav,ar-XA-Wavenet-B/male_aa_00899.pt
ar-XA-Wavenet-D/male_ac_01307.wav,ar-XA-Wavenet-D/male_ac_01307.pt
ar-XA-Wavenet-B/female_ad_00513.wav,ar-XA-Wavenet-B/female_ad_00513.pt
ar-XA-Wavenet-D/female_ab_00306.wav,ar-XA-Wavenet-D/female_ab_00306.pt
ar-XA-Wavenet-B/male_ac_01529.wav,ar-XA-Wavenet-B/male_ac_01529.pt
ar-XA-Wavenet-B/male_aa_00941.wav,ar-XA-Wavenet-B/male_aa_00941.pt
ar-XA-Wavenet-B/male_ac_01285.wav,ar-XA-Wavenet-B/male_ac_01285.pt
